sample_id,old_item_id,is_bullet_kind,sample_weight,v1_tier,v1_predicted_item_id,v2_tier,v2_predicted_item_id,v2_fix_overrode,b2_predicted_item_id
S056,post resuscitation/notes/1#2,False,53.0667,T1_id_exact,post resuscitation/notes/1#2,T1_id_exact,post resuscitation/notes/1#2,False,post resuscitation/notes/1#2
S057,preamble/notes/16,False,53.0667,T1_id_exact,preamble/notes/16,T1_id_exact,preamble/notes/16,False,preamble/notes/16
S058,vascular access/reference/3#8,False,53.0667,T1_id_exact,vascular access/reference/3#8,T1_id_exact,vascular access/reference/3#8,False,vascular access/reference/3#8
S059,avulsed teeth/treatment pathway/2,False,53.0667,T1_id_exact,avulsed teeth/treatment pathway/2,T1_id_exact,avulsed teeth/treatment pathway/2,False,avulsed teeth/treatment pathway/2
S060,neonatal resuscitation/treatment pathway/4.a.iii,False,53.0667,T1_id_exact,neonatal resuscitation/treatment pathway/4.a.iii,T1_id_exact,neonatal resuscitation/treatment pathway/4.a.iii,False,neonatal resuscitation/treatment pathway/4.a.iii
S061,chemical exposure/notes/4.c,False,53.0667,T1_id_exact,chemical exposure/notes/4.c,T1_id_exact,chemical exposure/notes/4.c,False,chemical exposure/notes/4.c
S062,vascular access/reference/3#10,False,53.0667,T1_id_exact,vascular access/reference/3#10,T1_id_exact,vascular access/reference/3#10,False,vascular access/reference/3#10
S063,preamble/notes/3.g,False,14.8333,T2_id_text_changed,preamble/notes/3.g,T2_id_text_changed,preamble/notes/3.g,False,preamble/notes/3.g
S064,ventricular tachycardia with a pulse/treatment pathway/8,False,14.8333,T2_id_text_changed,ventricular tachycardia with a pulse/treatment pathway/8,T2_id_text_changed,ventricular tachycardia with a pulse/treatment pathway/8,False,ventricular tachycardia with a pulse/treatment pathway/9
S065,breech or limb presentation/treatment – standing order/7,False,14.8333,T2_id_text_changed,breech or limb presentation/treatment – standing order/7,T2_id_text_changed,breech or limb presentation/treatment – standing order/7,False,NONE
S066,post resuscitation/notes/8,False,14.8333,T2_id_text_changed,post resuscitation/notes/8,T2_id_text_changed,post resuscitation/notes/8,False,post resuscitation/notes/9
S067,delirium with hyperagitation/contraindications/2#4,False,14.8333,T2_id_text_changed,delirium with hyperagitation/contraindications/2#4,T2_id_text_changed,delirium with hyperagitation/contraindications/2#4,False,delirium with hyperagitation/contraindications/2#5
S068,pre-eclampsia and eclampsia/treatment and interventions/1.e,False,14.8333,T2_id_text_changed,pre-eclampsia and eclampsia/treatment and interventions/1.e,T2_id_text_changed,pre-eclampsia and eclampsia/treatment and interventions/1.e,False,NONE
S069,delirium with hyperagitation/paramedic/2#3,False,14.8333,T2_id_text_changed,delirium with hyperagitation/paramedic/2#3,T2_id_text_changed,delirium with hyperagitation/paramedic/2#3,False,delirium with hyperagitation/paramedic/2#5
S070,drug ingestion/paramedic stop/d,False,14.8333,T2_id_text_changed,drug ingestion/paramedic stop/d,T2_id_text_changed,drug ingestion/paramedic stop/d,False,drug ingestion/paramedic stop/d
S071,delirium with hyperagitation/procedure/19,False,14.8333,T2_id_text_changed,delirium with hyperagitation/procedure/19,T2_id_text_changed,delirium with hyperagitation/procedure/19,False,delirium with hyperagitation/procedure/19
S072,trauma - penetrating/notes/5,False,14.8333,T2_id_text_changed,trauma - penetrating/notes/5,T2_id_text_changed,trauma - penetrating/notes/5,False,NONE
S073,pre-eclampsia and eclampsia/treatment and interventions/4,False,14.8333,T2_id_text_changed,pre-eclampsia and eclampsia/treatment and interventions/4,T2_id_text_changed,pre-eclampsia and eclampsia/treatment and interventions/4,False,pre-eclampsia and eclampsia/treatment and interventions/4
S074,delirium with hyperagitation/procedure/1.e,False,14.8333,T2_id_text_changed,delirium with hyperagitation/procedure/1.e,T2_id_text_changed,delirium with hyperagitation/procedure/1.e,False,NONE
S075,sop 108 torsades de pointes/treatment pathway/8.a,False,2.8,T3_renumbered,sop 108 torsades de pointes/treatment pathway/7.a,T3_renumbered,sop 108 torsades de pointes/treatment pathway/7.a,False,sop 108 torsades de pointes/treatment pathway/7.a
S076,post resuscitation/notes/9.a,False,2.8,T3_renumbered,post resuscitation/notes/10.a,T3_renumbered,post resuscitation/notes/10.a,False,post resuscitation/notes/10.a
S077,anaphylactic shock/treatment pathway/11,False,2.8,T3_renumbered,anaphylactic shock/treatment pathway/12,T3_renumbered,anaphylactic shock/treatment pathway/12,False,anaphylactic shock/treatment pathway/12
S078,ventricular tachycardia with a pulse/treatment pathway/10.b,False,2.8,T3_renumbered,ventricular tachycardia with a pulse/treatment pathway/11.b,T3_renumbered,ventricular tachycardia with a pulse/treatment pathway/11.b,False,ventricular tachycardia with a pulse/treatment pathway/11.b
S079,tension pneumothorax/hypotension/9,False,2.8,T3_renumbered,tension pneumothorax/hypotension/8,T3_renumbered,tension pneumothorax/hypotension/8,False,tension pneumothorax/hypotension/8
S080,tension pneumothorax/hypotension/10,False,2.8,T3_renumbered,tension pneumothorax/hypotension/9,T3_renumbered,tension pneumothorax/hypotension/9,False,tension pneumothorax/hypotension/9
S081,ventricular tachycardia with a pulse/treatment pathway/10.a,False,2.8,T3_renumbered,ventricular tachycardia with a pulse/treatment pathway/11.a,T3_renumbered,ventricular tachycardia with a pulse/treatment pathway/11.a,False,ventricular tachycardia with a pulse/treatment pathway/11.a
S082,medical complaint not specified under other protocols/treatment pathway/6#2,False,2.8,T3_renumbered,medical complaint not specified under other protocols/treatment pathway/7,T3_renumbered,medical complaint not specified under other protocols/treatment pathway/7,False,hypothermia/notes/o.11
S083,unconscious / unresponsive / altered mental status/treatment pathway/10.a,False,2.8,T3_renumbered,unconscious / unresponsive / altered mental status/treatment pathway/11.a,T3_renumbered,unconscious / unresponsive / altered mental status/treatment pathway/11.a,False,unconscious / unresponsive / altered mental status/treatment pathway/11.a
S084,drowning/ near drowning/treatment pathway/7,False,2.8,T3_renumbered,drowning/ near drowning/treatment pathway/8,T3_renumbered,drowning/ near drowning/treatment pathway/8,False,drowning/ near drowning/treatment pathway/8
S085,musculoskeletal trauma/treatment pathway/7#2,False,1.0,T5_moved,abdominal/gu pain non-traumatic / nausea and vomiting/treatment pathway/6,T5_moved,abdominal/gu pain non-traumatic / nausea and vomiting/treatment pathway/6,False,sop 304 cerebrovascular accident cva / stroke/treatment pathway/8
S086,agitated or combative patient/notes/6#2,False,1.0,T6_unmatched_old,NONE,T6_unmatched_old,NONE,False,NONE
S087,unconscious / unresponsive / altered mental status/treatment pathway/9#2,False,1.0,T6_unmatched_old,NONE,T6_unmatched_old,NONE,False,unconscious / unresponsive / altered mental status/treatment pathway/9
S088,agitated or combative patient/notes/6.a,False,1.0,T6_unmatched_old,NONE,T6_unmatched_old,NONE,False,NONE
S089,sop 108 torsades de pointes/treatment pathway/9,False,1.0,T6_unmatched_old,NONE,T6_unmatched_old,NONE,False,eye trauma/treatment – standing order/3.c
S090,agitated or combative patient/notes/6.b,False,1.0,T6_unmatched_old,NONE,T6_unmatched_old,NONE,False,NONE
S091,behavioral health emergency/notes/9,False,1.0,T6_unmatched_old,NONE,T6_unmatched_old,NONE,False,NONE
S092,hyperglycemia associated with diabetes/hypotension/6#2,False,1.0,T6_unmatched_old,NONE,T6_unmatched_old,NONE,False,hyperglycemia associated with diabetes/hypotension/6
