sample_id,old_item_id,old_guideline,old_section,old_marker_path,old_text,annotator_correspondence,annotator_relation,annotator_notes
S017,patient refusal or declination of care / patient non-transport situations/assessment/4#2,Patient Refusal or Declination of Care / Patient Non-Transport Situations,assessment,4,"Do not release minor on the scene without parent/guardian consent Reasons for Non-Transport Minor illness or injury and acceptable alternative transportation available No Patient Found on the Scene Definition:  No person found to have any complaint of injury/illness of any type or degree PCR is to be completed in detail as to why no patient was found, i.e.: no person found on scene, person located with no complaint of injury/illness and denies needing medical assistance. REFERENCE – Mini Mental Status Exam",,,
S018,patient refusal or declination of care / patient non-transport situations/aemt stop/4.b,Patient Refusal or Declination of Care / Patient Non-Transport Situations,aemt stop,4.b,"Versed: 2-5 mg IV/IM/IN/IO, repeat once",,,
S019,preamble/introduction/3.g,<preamble>,introduction,3.g,"Altered level of consciousness Stable (asymptomatic) – Indicates that the patient has no or very mild signs and symptoms associated with the current history of illness or trauma. Emergency Medical Responder – Personnel licensed by the Tennessee Department of Health, Office of EMS and authorized by the service Medical Director to perform lifesaving interventions while awaiting additional EMS response.  May also assist higher level personnel at scene and during transport under medical direction and within their scope of practice. EMT – Personnel licensed by the Tennessee Department of Health, Office of EMS and authorized by the Medical Director to provide basic emergency care according to the Standard of Care and these Guidelines. AEMT – Personnel licensed by the Tennessee Department of Health, Office of EMS and authorized by the Medical Director to provide limited advanced emergency care according to the Standard of Care and Standing Orders and Protocols. Paramedic – Personnel licensed by the Tennessee Department of Health, Office of EMS and authorized by the Medical Director to provide basic and advanced emergency patient care according to the standard of care and these guidelines Orders and Protocols Transfer of Care – Properly maintaining the continuity of care through appropriate verbal and/or written communication of patient care aspects to an equal or higher appropriate medical authority. Higher Medical Authority – Any medical personnel that possesses a current medical license or certificate recognized by the State of Tennessee with a higher level of medical training than the one possessed by EMS Personnel. (MD) Definitions Medical Control (transport) – The instructions and advice provided by a physician, and the orders by a physician that define the treatment of the patient. To access Medical Control, contact the Emergency Department physician on duty of the patient’s first choice of destinations.  If the patient does not have a preference, the patient’s condition and/or chief complaint may influence the choice of medical treatment facilities. All EMRs, EMTs, AEMTs, and Paramedics are expected to perform their duties in accordance with local, state and federal guidelines. Medical Directors Statement I have taken great care to make certain that doses of medications and schedules of treatment are compatible with generally accepted standards at time of publication.  Much effort has gone into the development, production, and proof reading of Protocol Guidelines.  Unfortunately, this process may allow errors to go unnoticed or treatments may change between the creation of these protocols and their ultimate use.  Please do not hesitate to contact your medical director if you discover any errors, typos, dosage, or medication errors. I look forward to any questions, concerns, or comments regarding these protocols.  I expect all EMS personnel to follow these guidelines, but also to utilize and exercise good judgment to provide the best care for all patients. EMS Medical Director 101 Automatic External Defibrillator (AED)",,,
S020,supraventricular tachycardia svt/notes/3,Supraventricular Tachycardia (SVT),notes,3,"Carotid Sinus Pressure should be applied on the right if possible.  In no effect, then try the left side. NEVER massage both sides at once.",,,
S021,pediatric cardiac emergency neonatal resuscitation/precautions/4#2,PEDIATRIC CARDIAC EMERGENCY Neonatal Resuscitation,precautions,4,Maintain systolic pressure of 90 or greater,,,
S022,torsades de pointe/aemt stop/8.a.i,Torsades de Pointe,aemt stop,8.a.i,"Prepare for cardioversion at 100J, escalate as needed. (Peds: Begin with 0.5-1 J/kg: if not effective, then increase to 2 J/kg)",,,
S023,pulseless electrical activity p e a/aemt stop/11,Pulseless Electrical Activity (P.E.A.),aemt stop,11,"PEA continues: Continue CPR, transport to appropriate facility. 107 Premature Ventricular Contractions (PVC)",,,
S024,ventricular tachycardia with a pulse/aemt stop/10.a,Ventricular Tachycardia with a Pulse,aemt stop,10.a,Administer sedative as necessary – Valium 2-5mg IV (peds 0.1mg/kg) OR Versed 2-5 mg IV (peds 0.1 mg/kg) and/or Pain Medications per chart below.,,,
S025,hypothermia/aemt stop/13,Hypothermia,aemt stop,13,If body temperature <85° F and patient in V-Fib:,,,
S026,pediatric cardiac emergency neonatal resuscitation/exclusion criteria/•.3,PEDIATRIC CARDIAC EMERGENCY Neonatal Resuscitation,exclusion criteria,•.3,Defibrillation performed if indicated,,,
S027,seizures/aemt stop/6,Seizures,aemt stop,6,Peds:,,,
S028,acute coronary syndrome/stemi/aemt stop/1,Acute Coronary Syndrome/STEMI,aemt stop,1,Patients with positive AMI should be transported to an appropriate cardiac facility as soon as possible.  Treat arrhythmia appropriately. Transmit EKG to PCI capable hospital within 10 minutes of patient contact. Perform serial EKGs in order to document progression of EKG changes.  Treat arrhythmia appropriately.,,,
S029,patient refusal or declination of care / patient non-transport situations/miscellaneous/1#4,Patient Refusal or Declination of Care / Patient Non-Transport Situations,miscellaneous,1,Maintain a calm environment and avoid performing measures beyond basic life support.,,,
S030,normal delivery/emr stop/9.a,Normal Delivery,emr stop,9.a,Massage uterine fundus (lower abdomen),,,
S031,miscellaneous/aemt stop/2,MISCELLANEOUS,aemt stop,2,12 Lead EKG if appropriate,,,
S032,pediatric cardiac emergency neonatal resuscitation/exclusion criteria/•.8,PEDIATRIC CARDIAC EMERGENCY Neonatal Resuscitation,exclusion criteria,•.8,Allow at least 90 seconds of CPR after any medications given before pausing to check rhythm,,,
S033,patient refusal or declination of care / patient non-transport situations/miscellaneous/1#3,Patient Refusal or Declination of Care / Patient Non-Transport Situations,miscellaneous,1,Pregnant greater than 20 weeks,,,
S034,acute coronary syndrome/stemi/aemt stop/13,Acute Coronary Syndrome/STEMI,aemt stop,13,"Systolic BP is <100 mmHg, give 250 ml NS bolus (assess for signs of pulmonary congestion) If PVCs >15/min – Lidocaine 1 – 1.5 mg/kg over 2 min, repeat to total of 3 mg/kg",,,
S035,pediatric cardiac emergency neonatal resuscitation/exclusion criteria/•.5,PEDIATRIC CARDIAC EMERGENCY Neonatal Resuscitation,exclusion criteria,•.5,"Obtain airway (adequate ventilation with OPA/NPA/BVM, King Airway or ETT)",,,
S036,normal delivery/emt stop/8,Normal Delivery,emt stop,8,"INT or IV LR TKO, if patient in active labor defined as: regular contractions q 3-5 mins with 30-60 second duration. 501 Normal Delivery NOTE: Considerations",,,
S037,pediatric cardiac emergency neonatal resuscitation/exclusion criteria/•.11,PEDIATRIC CARDIAC EMERGENCY Neonatal Resuscitation,exclusion criteria,•.11,Detailed documentation with times of all initiation and termination of use of the Mechanical CPR device must be kept for statistical and feedback purposes Note: Placement and initiation of the device cannot exceed 20 seconds.  Longer pauses result in a significant decrease in a likelihood of a successful resuscitation. PROCEDURE Rapid Sequence Intubation,,,
S038,premature ventricular contractions pvc/aemt stop/8.i,Premature Ventricular Contractions (PVC),aemt stop,8.i,"If PVCs abolished, initiate Lidocaine drip @ 2 – 4 mg/min NOTE: Use ½ of initial dose for subsequent doses for patients <70 y/o or with history of hepatic disease.",,,
S039,patient refusal or declination of care / patient non-transport situations/miscellaneous/6.b,Patient Refusal or Declination of Care / Patient Non-Transport Situations,miscellaneous,6.b,"Signed order in patient’s medical records: nursing home, hospice, or home care Note: If DNR/POST for is used to withhold or terminate resuscitation efforts, a copy must be attached to the PCR. 612 “Excited Delirium”/Taser Use",,,
S040,acute coronary syndrome/stemi/aemt stop/12,Acute Coronary Syndrome/STEMI,aemt stop,12,Nitroglycerine – If patient is not Hypotensive (BP <100 mmHg) administer 0.4mg Nitroglycerine SL and apply 1” of Nitroglycerine to chest wall.  Repeat Nitroglycerine spray once 5 minutes after initial spray and application of paste.  Continue nitrate therapy until pain relieved or systolic BP<100 mmHg.,,,
S041,untitled 2436/aemt stop/14,<untitled@2436>,aemt stop,14,Consider contacting Medical Control for sedating agents especially in pediatric patients,,,
S042,patient refusal or declination of care / patient non-transport situations/aemt stop/5.e,Patient Refusal or Declination of Care / Patient Non-Transport Situations,aemt stop,5.e,Contact should be made with Medical/Trauma Control if this happens.,,,
S043,untitled 2436/hypotension/5,<untitled@2436>,hypotension,5,Cover burned area with dry sterile dressing or burn sheet.  Attempt to keep blisters intact,,,
S044,untitled 2436/hypotension/7,<untitled@2436>,hypotension,7,Monitor to prevent hypothermia,,,
S045,untitled 2436/emt stop/10,<untitled@2436>,emt stop,10,"INT or IV NS, if hypotensive 20 mL/kg (peds 20 mL/kg)",,,
S046,untitled 2436/aemt stop/12,<untitled@2436>,aemt stop,12,"For major burns, Administer Pain Medications per chart below (contact medical control in multi- system trauma/pregnancy), transport (all additional doses must be approved by Medical Control)",,,
S047,untitled 2436/aemt stop/13,<untitled@2436>,aemt stop,13,"If extremity injured, cover open fractures/lacerations/injuries with sterile dressing, splint fractures prn, avoid unnecessary movement, transport",,,
S048,patient refusal or declination of care / patient non-transport situations/aemt stop/6.b,Patient Refusal or Declination of Care / Patient Non-Transport Situations,aemt stop,6.b,Request the physician contact Medical Control and relay any orders through them.,,,
S049,patient refusal or declination of care / patient non-transport situations/aemt stop/5.c,Patient Refusal or Declination of Care / Patient Non-Transport Situations,aemt stop,5.c,"Take responsibility for the care given by the EMS Provider if okay with Medical/Trauma Control, then physically accompany the patient to the Emergency Department where responsibility is assumed by the receiving physician; and shall,",,,
S050,patient refusal or declination of care / patient non-transport situations/aemt stop/1,Patient Refusal or Declination of Care / Patient Non-Transport Situations,aemt stop,1,No one will be recognized as a physician without proof of license.  This must be in the form of a wallet card or visual personal recognition.  NO ORDERS will be accepted until proof of license is verified.,,,
S051,untitled 2436/aemt stop/11,<untitled@2436>,aemt stop,11,"12 Lead EKG, transmit",,,
S052,musculoskeletal trauma/aemt stop/8#2,Musculoskeletal Trauma,aemt stop,8,Consider use of tourniquet or hemorrhage control clamp NOTE: Cervical spine protection is not necessary in patients suffering penetrating trauma (stab or gunshot wound) if no evidence of neurological injury.  Do not delay transport of patients meeting these criteria for immobilization. 410 Neurogenic Shock,,,
S053,acute coronary syndrome/stemi/aemt stop/14,Acute Coronary Syndrome/STEMI,aemt stop,14,"If chest pain/discomfort continues Continue Nitrate therapy Complete thrombolytic screening If chest pain greater than 7 on scale of 1-10, treat pain per chart below until pain is tolerated by patient Contact Medical Control Transport Note:  If EMS suspects a true Acute Coronary Syndrome/STEMI in a patient less than 18 years old, immediately contact online medical control. 105 Chest Pain / NON Cardiac",,,
S054,ventricular asystole/aemt stop/9.f,Ventricular Asystole,aemt stop,9.f,Consider Narcan 110 Ventricular Asystole Reversible Causes: Hypovolemia Hypoxia Hydrogen ion (acidosis) Hyperkalemia/Hypokalemia Hypothermia Tablets (drug overdose) Tamponade (cardiac) Tension pneumothorax Thrombosis – Heart Thrombosis – Lungs 111 Ventricular Fibrillation/Pulseless Ventricular Tachy,,,
S055,pediatric cardiac emergency neonatal resuscitation/exclusion criteria/•#2,PEDIATRIC CARDIAC EMERGENCY Neonatal Resuscitation,exclusion criteria,•,Children <42 kg/90 lbs. or any individual which when fitted with the device the suction cup does not make firm contact with the chest wall,,,
S056,medical emergencies medical complaint not specified under other protocols/aemt stop/6,MEDICAL EMERGENCIES Medical Complaint Not Specified under other Protocols,aemt stop,6,"12 Lead EKG, transmit 301 Abdominal Pain (non-traumatic)/ Complaint/Nausea and Vomiting",,,
S057,musculoskeletal trauma/shock / trauma/5,Musculoskeletal Trauma,shock / trauma,5,Pulse oximetry,,,
S058,pre-eclampsia and eclampsia/miscellaneous/f,Pre-eclampsia and Eclampsia,miscellaneous,f,"Instructed to do so by the on-scene Paramedic Discontinuing Life Support Once life support has been initiated in the field, in order to discontinue life support, the following conditions must be met:",,,
S059,normal delivery/emr stop/10,Normal Delivery,emr stop,10,Re-Evaluate vaginal bleeding Infant:,,,
S060,preamble/introduction/1.f#2,<preamble>,introduction,1.f,TKO (To Keep Open) indicates a flow rate of approximately 50 mL/hr (peds 5-10 mL/hr),,,
