sample_id,old_item_id,old_guideline,old_section,old_marker_path,old_text,annotator_correspondence,annotator_relation,annotator_notes
S014,airway management pediatric/protocol/o#6,Airway Management Pediatric,protocol,o,"For children with chronic lung disease or congenital heart disease, maintain or increase home oxygen level to patient’s target saturations. Note: Pulse oximetry is difficult to obtain in children.  Do not rely exclusively on pulse oximetry. If child continues to exhibit signs of respiratory distress despite high oxygen saturation levels, continue oxygen administration. For respiratory failure or for distress that does not improve with oxygen administration:",,,
S015,pelvic fracture stabilization/protocol/•.4,Pelvic Fracture Stabilization,protocol,•.4,"Tighten the binder or pull the sheet ends opposite each other till desired force/ effect is achieved.  If legs externally rotated, assess for correction toward normal alignment.",,,
S016,pain management adult/protocol/o#3,Pain Management – Adult,protocol,o,"Morphine 0.1 mg/kg IV/IO/IM (single max dose of 10 mg) every 5 minutes to a total of 20 mg titrated to pain relief and if systolic BP is >100 mmHg. Routine Patient Care. Use ample padding when splinting musculoskeletal injuries and positioning patient. Provide reassurance, psychological support and distraction. Consider the application of a cold pack for 30 minutes. Ask patient to rate his/her pain from 0 to 10 where 0 is no pain at all and 10 is the worst pain he/she has ever experienced. If there is a language barrier, use behavioral (r-FLACC) pain scale, see Pain – Pediatric Protocol 2.19P. Opioid analgesic (Moderate/severe pain only; Choose only ONE of the following):",,,
S017,new central line access/protocol/7#3,NEW Central Line Access,protocol,7,"Remove the needle, leaving the plastic catheter in place.",,,
S018,appendix 2 ct pediatric color coded medication reference/protocol/-#55,Appendix 2:   CT Pediatric Color Coded Medication Reference,protocol,-,Torsades 1350 mg 54 mg 2.7 mg 2.7 mg 2 mg Methylprednisolone Midazolam Morphine Sulfate Naloxone Norepinephrine Ondansetron - IV/IO 4.0 mg,,,
S019,refusal of care/protocol/1#3,Refusal of Care,protocol,1,"Treated/resolved hypoglycemia, (see Hypoglycemia Protocol 2.12A). Unless: -History of insulin-dependent diabetes, and; -Not taking sulfonylureas, and; -Return to normal mental status, and; -Pre-treatment glucose reading is <80 mg/dL, and; -Post-treatment glucose reading is >80 mg/dL, and; -Is witnessed to eat, and; -Has normal vital signs, and; -Is advised to follow up with primary care physician.",,,
S020,new central line access/protocol/4,NEW Central Line Access,protocol,4,Needle is appropriately placed if the following are present: Aspiration with syringe yields blood with marrow particulate matter. Infusion of saline does not result in infiltration at the site. Needle stands without support.,,,
S021,restraints/protocol/9,Restraints,protocol,9,"If a patient is restrained by law enforcement personnel with handcuffs or other devices EMS personnel cannot remove, a law enforcement officer should accompany the patient to the hospital in the transporting ambulance.  If this is not feasible, the officer MUST follow directly behind the transporting ambulance to the receiving hospital. PARAMEDIC STANDING ORDERS CONTINUED ON NEXT PAGE MAY NOT BE altered or modified without prior approval. 6.16 PARAMEDIC STANDING ORDERS - ADULT Consider administering: Midazolam 5mg IM/IN or 2.5mg IV/IO, may repeat once in 5 minutes;OR Lorazepam 2 mg IM or 1 mg IV/IO, may repeat once in 5 minutes; OR Diazepam 2 mg IV/IO (preferred route), may repeat once in 5 minutes; OR Diazepam 5 mg IM, may repeat once in 20 minutes For patient with Extreme Agitation/Combativeness or suspected Excited/Agitated Delirium or ineffective control with benzodiazepines above administer: Ketamine (preferred) 4 mg/kg IM (round to nearest 50mg), max single dose 500mg. May administer additional 100mg ketamine IM in 5-10 minutes; OR If vascular access, may alternatively administer 1 mg/kg ketamine IV/IO over 2 minutes.  May administer additional 0.5-1mg/kg IV/IO in 5 minutes (max total 2mg/kg ); OR Administer benzodiazepines as authorized above AND consider: If cardiac arrest occurs with suspected excited delirium, consider early administration of: fluid bolus, sodium bicarbonate and calcium chloride / calcium gluconate (see Cardiac Arrest Protocol 3.2A/P) If emergence reaction is observed secondary to ketamine, administer midazolam one time at the adult/pediatric dosage specified above. PARAMEDIC STANDING ORDERS - Pediatric (Patient ≤36kg/79 lbs or ≤145cm/57 in) For pediatric patient with Extreme Agitation/Combativeness, consider: Ketamine (preferred) 4 mg/kg IM, maximum single dose 150mg.  If vascular access, may alternatively administer 1 mg/kg (max 40mg) slow IV/IO over at least 2 minutes; OR Midazolam 0.1 mg/kg IM/IN/IV/IO (max 2mg), may repeat once in 5 minutes; OR Lorazepam 0.1 mg/kg IM/IV/IO (max 2mg), may repeat once in 5 minutes; OR Diazepam 0.1 mg/kg IV/IO (preferred route, max 2mg), may repeat once in 5 minutes; OR 0.1 mg/kg IM (max 5mg), may repeat once in 20 minutes Haloperidol 10mg IM or Olanzapine 5 – 10 mg IM For acute akathisia/dystonic reaction to haloperidol, administer Diphenhydramine 25-50mg IV/IO/IM NOTE: Contact Direct Medical Oversight for additional adult/pediatric medication doses MAY NOT BE altered or modified without prior approval. 6.16 Continued patient struggling against restraints may lead to hyperkalemia, rhabdomyolysis, and/or cardiac arrest, chemical restraint may be necessary to prevent continued forceful struggling by the patient. Excited/Agitated Delirium is characterized by extreme restlessness, irritability, and/or high fever.  Patients exhibiting these signs are at high risk for sudden death. Medications should be administered cautiously in frail or debilitated patients; lower doses should be considered. Administer haloperidol with caution to patients who are already on psychotropic medications which may precipitate serotonin syndrome or malignant hyperthermia. Placing a patient in prone position creates a severe risk of airway and ventilation compromise and death. Rapid intravenous administration of ketamine or benzodiazepines increases the risk of respiratory depression/apnea When administering medications for restraint, basic and advanced airway management equipment must be available at the patient's side. MAY NOT BE altered or modified without prior approval. 6.16",,,
S022,emergency incident rehabilitation/protocol/e#2,Emergency Incident Rehabilitation,protocol,e,"For personnel with signs or symptoms of dehydration or fatigue, check for toxic exposure, heat- related illness, chest pain, and/or change in mental status: these are medical emergencies; obtain ALS treatment if available and transport to a hospital emergency department. EMERGENCY INCIDENT REHABILITATION Adapted from DHS-Wide BLS & ALS Protocols, US Department of Homeland Security, 2010. MAY NOT BE altered or modified without prior approval. 6.22 MAY NOT BE altered or modified without prior approval. Page is intentionally left blank",,,
S023,hyperthermia environmental adult & pediatric/protocol/o#3,Hyperthermia (Environmental) – Adult & Pediatric,protocol,o,"Discontinue active cooling when the patient reaches 101.5 °F (38.5°C) or if shivering occurs and cannot be managed by paramedics. ADULT:  Consider 500 ml normal saline IV fluid bolus for dehydration even if vital signs are normal. PEDIATRIC:  Consider 10 – 20 ml/kg normal saline IV fluid bolus for dehydration even if vital signs are normal. Consider 10 – 20ml/kg normal saline IV/IO fluid bolus for dehydration even if vital signs are normal. ADVANCED EMT STANDING ORDERS – ADULT & PEDIATRIC PARAMEDIC STANDING ORDERS- ADULT Hyperthermia: Elevated temperature may be due to environmental exposure, pharmacologic agents, or excited (agitated) delirium, see Behavioral Emergencies Protocol 2.6.  Mortality and morbidity are directly EMT STANDING ORDERS- ADULT & PEDIATRIC 2.11 MAY NOT BE altered or modified without prior approval.",,,
S024,cardiac arrest pediatric/protocol/•#12,Cardiac Arrest – Pediatric,protocol,•,"Placement of an advanced airway during cardiac arrest should not interrupt chest compressions.  In this setting, supraglottic airways and ETTs can be considered equivalent. Cuffed ETT are also acceptable in the pediatric setting. If using a cuffed ETT please refer to the guidelines below:",,,
S025,appendix 1 ct adult medication reference/protocol/•#37,Appendix 1:   CT Adult Medication Reference,protocol,•,5 mg IM; may repeat once in 10 minutes. CPAP / Bilevel PAP,,,
S026,cardiac arrest pediatric/protocol/•#14,Cardiac Arrest – Pediatric,protocol,•,"For suspected metabolic acidosis, suspected or known hyperkalemia (dialysis patient), or known tricyclic antidepressant overdose, consider:",,,
S027,poisoning/overdose/substance use disorder adult/protocol/o#2,Poisoning/Overdose/Substance Use Disorder – Adult,protocol,o,BVM ventilation 1 breath every 6 seconds during recoil and without interrupting compressions.  Consider the use of a pediatric BVM to deliver only the necessary volume to achieve chest rise.,,,
S028,5 2 1 bilevel positive airway pressure - adult/protocol/o.3,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,o.3,Place the patient in upright position.,,,
S029,5 2 1 bilevel positive airway pressure - adult/protocol/o.4,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,o.4,Choose the appropriate sized mask for patient.,,,
S030,5 2 1 bilevel positive airway pressure - adult/protocol/o.7,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,o.7,"IPAP: Adjust as needed, minimum of 10cmH2O; not to exceed 20cmH2O. EPAP: Adjusted as needed, minimum of 5cmH2O; not to exceed 14 cmH2O. Pressure support to be no less than 5 cmH2O (Difference of IPAP-EPAP). Set back-up ventilatory rate of no less than 8 BPM. (if equipped).",,,
S031,5 2 1 bilevel positive airway pressure - adult/protocol/o.1,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,o.1,Ensure adequate oxygen supply for CPAP device.,,,
S032,seizures adult/protocol/o,Seizures – Adult,protocol,o,"To use the VNS magnet, pass the magnet closely over the VNS device; if unsuccessful, repeat every 3 – 5 minutes for a total of 3 times.",,,
S033,5 2 1 bilevel positive airway pressure - adult/protocol/o.8,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,o.8,9.,,,
S034,5 2 1 bilevel positive airway pressure - adult/protocol/o#3,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,o,"Diazepam 5mg IV/IO, may repeat once in 5 minutes PROCEDURE",,,
S035,5 2 1 bilevel positive airway pressure - adult/protocol/o.10,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,o.10,Set FiO2 to appropriate level to maintain an SpO2 of 94 - 99%. Recheck the mask for leaks and adjust as needed. If the patient deteriorates and meets one or more of the contraindications above then discontinue the use of bilevel ventilation.,,,
S036,orotracheal intubation/protocol/4.-,Orotracheal Intubation,protocol,4.-,"10 minutes as needed. AND Midazolam (preferred) 0.1 mg/kg IV/IO (maximum single dose 4 mg), repeat every 5 - 10 minutes as needed OR Lorazepam 0.1 mg/kg IV/IO (maximum single dose 4 mg), repeat every 10 minutes as needed. POST TUBE PLACEMENT CARE – PEDIATRIC Sedation/Analgesia: Ketamine 1 mg/kg IV/IO, repeat every 5 - 15 minutes as needed. Option 1:",,,
S037,5 2 1 bilevel positive airway pressure - adult/protocol/o.11,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,o.11,12.,,,
S038,5 2 1 bilevel positive airway pressure - adult/protocol/o#2,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,o,"Lorazepam 1mg IV/IO may repeat once in 5 minutes, or 2mg IM may repeat once in 10 minutes 25",,,
S039,5 2 1 bilevel positive airway pressure - adult/protocol/o.13,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,o.13,"Monitor the patients SpO2, Capnography, ECG and Blood pressure. x For Nausea/Vomiting, see Nausea/Vomiting (Adult & Pediatric 2.14) Keep in mind Bilevel PAP uses large volumes of oxygen. While not a contraindication, caution should be used in hypotensive patients. Administer benzodiazepines with caution in elderly patients, or those with signs of hypercarbia or respiratory fatigue. *For IN administration nof midazolam use a 5 mg/mL concentration. 3($5/6 Refer to device specific settings when applicable. For hypoxic respiratory failure, keep a narrow pressure gradient.  Set iPAP/ePAP at 10/5, then increase both by the same amount until oxygenation improves or to a max of 20/14. For hypercarbic respiratory failure, set a wide pressure gradient.  Set the iPAP/ePAP at 10/5, then increase the iPAP until CO2 values improve or to a max of 20/5. For mixed respiratory failure, consider correcting oxygenation first utilizing the theory above.  Lowering the ePAP after will improve exhalation once SpO2 values have been corrected. CONTRAINDICATIONS Cardiac/Respiratory arrest. Unable to follow commands. Unable to maintain their own airway. Vomiting and/or active upper GI bleed. Respiratory distress secondary to trauma. Suspicion of pneumothorax. 5.2.1",,,
S040,5 2 1 bilevel positive airway pressure - adult/protocol/o,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,o,"Midazolam 2.5mg IV/IO may repeat once in 5 minutes, or 5mg IM/IN* may repeat once in 10 minutes 25",,,
S041,adult/protocol/o.•#43,Adult,protocol,o.•,"Dystonic Reaction: Neurological movement disorder, in which sustained muscle contractions cause twisting and repetitive movements or abnormal postures. This may be induced by antipsychotics, such as haloperidol, or anti-emetics such as prochlorperazine or metoclopramide.",,,
S042,adult/protocol/o.•#31,Adult,protocol,o.•,"For seizures, see Seizures 2.21P.",,,
S043,adult/protocol/o#9,Adult,protocol,o,"Treat hyperthermia/dehydration, see Hyperthermia Protocol 2.11.",,,
S044,adult/protocol/o.•#9,Adult,protocol,o.•,"Dystonic Reaction: Neurological movement disorder, in which sustained muscle contractions cause twisting and repetitive movements or abnormal postures. This may be induced by antipsychotics, such as haloperidol, or anti-emetics such as prochlorperazine or metoclopramide.",,,
S045,adult/protocol/o.•#18,Adult,protocol,o.•,"If NOT able to adequately ventilate and oxygenate a patient with suspected opioid overdose, administer naloxone at the maximum end of the dose range.",,,
S046,adult/protocol/o.•#20,Adult,protocol,o.•,Pulse oximetry may NOT be accurate for patients suffering from toxic inhalation.,,,
S047,adult/protocol/o.•#28,Adult,protocol,o.•,"For suspected isolated cyanide poisoning, see Smoke Inhalation 2.24P.",,,
S048,adult/protocol/o.•#33,Adult,protocol,o.•,"Beta Blocker and Calcium Channel Blocker, see Bradycardia Protocol 3.1P.",,,
S049,adult/protocol/o.•#36,Adult,protocol,o.•,Sympathomimetic/Anticholinergic Stimulant:,,,
S050,adult/protocol/o.•#17,Adult,protocol,o.•,"If able to adequately ventilate and oxygenate a patient with suspected opioid overdose, administer the lowest naloxone dose necessary to achieve spontaneous ventilation and oxygenation.",,,
S051,eye & dental injuries adult & pediatric/protocol/o.•#3,Eye & Dental Injuries – Adult & Pediatric,protocol,o.•,"Document transfusion start time and volume infused on PCR and other documents as required PEARL: Time is of the essence for maximal benefit.  Transfusion should be started as soon as practical and without unnecessary delay to transport. Routine Patient Care. Manually stabilize the injury. Control bleeding with pressure, wound packing and/or tourniquet, see Tourniquet Procedure 6.17. Consider hemostatic dressing for severe hemorrhage. Remove obvious debris, irrigate open wounds with saline solution, and cover with moist sterile dressing. Assess Circulation-Sensory-Motor distal to injury before and frequently after immobilization.",,,
S052,adult/protocol/o.•#21,Adult,protocol,o.•,Capnography may be helpful for monitoring respiratory status and titrating to lowest effective naloxone dose. See Quantitive Waveform Capnography Procedure 5.7.,,,
S053,adult/protocol/o.•#37,Adult,protocol,o.•,"For sodium channel blocker toxicity (e.g. Tricyclic, Benadryl or Cocaine) with symtomatic dysrhythmia (e.g. tachycardia and wide QRS) administer:",,,
S054,septic shock pediatric/protocol/o#7,Septic Shock – Pediatric,protocol,o,Mottled cool extremities,,,
S055,eye & dental injuries adult & pediatric/protocol/o.•,Eye & Dental Injuries – Adult & Pediatric,protocol,o.•,Notify receiving facility as soon as possible that LTO-WB has/is being transfused,,,
S056,do not resuscitate dnr orders/protocol/1.o#2,Do Not Resuscitate (DNR) Orders,protocol,1.o,"Ventricular fibrillation,",,,
S057,hazardous material exposure/protocol/o#4,Hazardous Material Exposure,protocol,o,"Activate the HazMat Response/Incident Command System. Hospital Notification Receiving hospitals should be notified as soon as it is determined you have contaminated patient(s) to ensure the facility is capable and prepared to receive a potentially contaminated patient. Communication with the hospital should include such information as covered under the documentation and treatment section. Patient Decontamination Only properly trained and protected personnel should conduct patient decontamination. The decontamination system is established by the appropriately trained fire department/HazMat Team. EMS personnel will work cooperatively with them during the decontamination process. Patient decontamination is necessary to minimize injury due to exposure, as well as to mitigate risk of secondary exposure. MAY NOT BE altered or modified without prior approval. HAZARDOUS MATERIALS EXPOSURE Mass Decontamination (Large-scale Multiple/Mass Casualty) involves the effective dilution of a chemical or hazardous substance utilizing large quantities of water. This process should be supervised by the appropriately trained local fire department or HazMat Team. This process is necessary due to the involvement of an overwhelming number of patients, the severity of symptoms, and where technical or fine decontamination cannot be utilized due to time and personnel. Technical Decontamination Technical Decontamination involves a multi-step process, supervised by the appropriately trained fire department or HazMat Team. This decontamination process is dependent on the type of chemical hazard present, and may require different methods such as:",,,
S058,poisoning/overdose/substance use disorder adult/protocol/o,Poisoning/Overdose/Substance Use Disorder – Adult,protocol,o,"Apply high flow oxygen via NRB, OR",,,
S059,asthma/bronchiolitis/croup pediatric/protocol/o.•#9,Asthma/Bronchiolitis/Croup – Pediatric,protocol,o.•,"Transport the patient in an upright position and limit your assessment and interventions Please see Appendix 4 for 2.5A UPDATES RELATING TO COVID-19 Child with a ""silent chest"" may have severe bronchospasm with impending respiratory failure. PEARLS: For suspected Epiglottitis: Bronchiolitis:",,,
S060,adult/protocol/o#20,Adult,protocol,o,"Sodium bicarbonate 2 mEq/kg IV/IO. MAY NOT BE altered or modified without prior approval. Signs & Symptoms, which may or may not be present:",,,
