sample_id,tier,sample_weight,old_item_id,old_guideline,old_section,old_marker_path,old_text,method_similarity,method_predicted_item_id,method_predicted_text,annotator_correspondence,annotator_relation,annotator_notes
S011,T1_id_exact,49.375,appendix 4 covid-19 updates/protocol/o.•#26,Appendix 4:   COVID-19 Updates,protocol,o.•,Unstable or unwell appearing based on the judgement of the EMS provider,1.0,appendix 4 covid-19 updates/protocol/o.•#26,Unstable or unwell appearing based on the judgement of the EMS provider,,,
S012,T1_id_exact,49.375,new central line access/protocol/5.b,NEW Central Line Access,protocol,5.b,Neonate (<28 days): Utilize a 23 or 25 g butterfly needle or a 20 or 22g catheter- over-needle device. Both can be attached to a three-way stopcock and a syringe.,1.0,new central line access/protocol/5.b,Neonate (<28 days): Utilize a 23 or 25 g butterfly needle or a 20 or 22g catheter- over-needle device. Both can be attached to a three-way stopcock and a syringe.,,,
S013,T1_id_exact,49.375,new central line access/protocol/2.b.iv,NEW Central Line Access,protocol,2.b.iv,3. Prepare insertion site with chlorhexidine.,1.0,new central line access/protocol/2.b.iv,3. Prepare insertion site with chlorhexidine.,,,
S014,T1_id_exact,49.375,airway management pediatric/protocol/o#6,Airway Management Pediatric,protocol,o,"For children with chronic lung disease or congenital heart disease, maintain or increase home oxygen level to patient’s target saturations. Note: Pulse oximetry is difficult to obtain in children.  Do not rely exclusively on pulse oximetry. If child continues to exhibit signs of respiratory distress despite high oxygen saturation levels, continue oxygen administration. For respiratory failure or for distress that does not improve with oxygen administration:",1.0,airway management pediatric/protocol/o#6,"For children with chronic lung disease or congenital heart disease, maintain or increase home oxygen level to patient’s target saturations. Note: Pulse oximetry is difficult to obtain in children.  Do not rely exclusively on pulse oximetry. If child continues to exhibit signs of respiratory distress despite high oxygen saturation levels, continue oxygen administration. For respiratory failure or for distress that does not improve with oxygen administration:",,,
S015,T1_id_exact,49.375,pelvic fracture stabilization/protocol/•.4,Pelvic Fracture Stabilization,protocol,•.4,"Tighten the binder or pull the sheet ends opposite each other till desired force/ effect is achieved.  If legs externally rotated, assess for correction toward normal alignment.",1.0,pelvic fracture stabilization/protocol/•.4,"Tighten the binder or pull the sheet ends opposite each other till desired force/ effect is achieved.  If legs externally rotated, assess for correction toward normal alignment.",,,
S016,T1_id_exact,49.375,pain management adult/protocol/o#3,Pain Management – Adult,protocol,o,"Morphine 0.1 mg/kg IV/IO/IM (single max dose of 10 mg) every 5 minutes to a total of 20 mg titrated to pain relief and if systolic BP is >100 mmHg. Routine Patient Care. Use ample padding when splinting musculoskeletal injuries and positioning patient. Provide reassurance, psychological support and distraction. Consider the application of a cold pack for 30 minutes. Ask patient to rate his/her pain from 0 to 10 where 0 is no pain at all and 10 is the worst pain he/she has ever experienced. If there is a language barrier, use behavioral (r-FLACC) pain scale, see Pain – Pediatric Protocol 2.19P. Opioid analgesic (Moderate/severe pain only; Choose only ONE of the following):",1.0,pain management adult/protocol/o#3,"Morphine 0.1 mg/kg IV/IO/IM (single max dose of 10 mg) every 5 minutes to a total of 20 mg titrated to pain relief and if systolic BP is >100 mmHg. Routine Patient Care. Use ample padding when splinting musculoskeletal injuries and positioning patient. Provide reassurance, psychological support and distraction. Consider the application of a cold pack for 30 minutes. Ask patient to rate his/her pain from 0 to 10 where 0 is no pain at all and 10 is the worst pain he/she has ever experienced. If there is a language barrier, use behavioral (r-FLACC) pain scale, see Pain – Pediatric Protocol 2.19P. Opioid analgesic (Moderate/severe pain only; Choose only ONE of the following):",,,
S017,T2_id_text_changed,22.3636,new central line access/protocol/7#3,NEW Central Line Access,protocol,7,"Remove the needle, leaving the plastic catheter in place.",1.0,new central line access/protocol/7#3,Us e a pressure bag for continuous 0.9% NaCl infusions.,,,
S018,T2_id_text_changed,22.3636,appendix 2 ct pediatric color coded medication reference/protocol/-#55,Appendix 2:   CT Pediatric Color Coded Medication Reference,protocol,-,Torsades 1350 mg 54 mg 2.7 mg 2.7 mg 2 mg Methylprednisolone Midazolam Morphine Sulfate Naloxone Norepinephrine Ondansetron - IV/IO 4.0 mg,1.0,appendix 2 ct pediatric color coded medication reference/protocol/-#55,Torsades Methylprednisolone Midazolam Morphine Sulfate Naloxone Norepinephrine Ondansetron - IV/IO,,,
S019,T2_id_text_changed,22.3636,refusal of care/protocol/1#3,Refusal of Care,protocol,1,"Treated/resolved hypoglycemia, (see Hypoglycemia Protocol 2.12A). Unless: -History of insulin-dependent diabetes, and; -Not taking sulfonylureas, and; -Return to normal mental status, and; -Pre-treatment glucose reading is <80 mg/dL, and; -Post-treatment glucose reading is >80 mg/dL, and; -Is witnessed to eat, and; -Has normal vital signs, and; -Is advised to follow up with primary care physician.",1.0,refusal of care/protocol/1#3,"Treated/resolved hypoglycemia, (see Hypoglycemia Protocol 2.12A). Unless: -History of insulin-dependent diabetes, and; -Not taking sulfonylureas, and; -Return to normal mental status, and; -Post-treatment glucose reading is >80 mg/dL, and; -Is witnessed to eat, and; -Has normal vital signs, and; -Is advised to follow up with primary care physician.",,,
S020,T2_id_text_changed,22.3636,new central line access/protocol/4,NEW Central Line Access,protocol,4,Needle is appropriately placed if the following are present: Aspiration with syringe yields blood with marrow particulate matter. Infusion of saline does not result in infiltration at the site. Needle stands without support.,1.0,new central line access/protocol/4,Alcohol or 2% Chlorhexidine wipes,,,
S021,T2_id_text_changed,22.3636,restraints/protocol/9,Restraints,protocol,9,"If a patient is restrained by law enforcement personnel with handcuffs or other devices EMS personnel cannot remove, a law enforcement officer should accompany the patient to the hospital in the transporting ambulance.  If this is not feasible, the officer MUST follow directly behind the transporting ambulance to the receiving hospital. PARAMEDIC STANDING ORDERS CONTINUED ON NEXT PAGE MAY NOT BE altered or modified without prior approval. 6.16 PARAMEDIC STANDING ORDERS - ADULT Consider administering: Midazolam 5mg IM/IN or 2.5mg IV/IO, may repeat once in 5 minutes;OR Lorazepam 2 mg IM or 1 mg IV/IO, may repeat once in 5 minutes; OR Diazepam 2 mg IV/IO (preferred route), may repeat once in 5 minutes; OR Diazepam 5 mg IM, may repeat once in 20 minutes For patient with Extreme Agitation/Combativeness or suspected Excited/Agitated Delirium or ineffective control with benzodiazepines above administer: Ketamine (preferred) 4 mg/kg IM (round to nearest 50mg), max single dose 500mg. May administer additional 100mg ketamine IM in 5-10 minutes; OR If vascular access, may alternatively administer 1 mg/kg ketamine IV/IO over 2 minutes.  May administer additional 0.5-1mg/kg IV/IO in 5 minutes (max total 2mg/kg ); OR Administer benzodiazepines as authorized above AND consider: If cardiac arrest occurs with suspected excited delirium, consider early administration of: fluid bolus, sodium bicarbonate and calcium chloride / calcium gluconate (see Cardiac Arrest Protocol 3.2A/P) If emergence reaction is observed secondary to ketamine, administer midazolam one time at the adult/pediatric dosage specified above. PARAMEDIC STANDING ORDERS - Pediatric (Patient ≤36kg/79 lbs or ≤145cm/57 in) For pediatric patient with Extreme Agitation/Combativeness, consider: Ketamine (preferred) 4 mg/kg IM, maximum single dose 150mg.  If vascular access, may alternatively administer 1 mg/kg (max 40mg) slow IV/IO over at least 2 minutes; OR Midazolam 0.1 mg/kg IM/IN/IV/IO (max 2mg), may repeat once in 5 minutes; OR Lorazepam 0.1 mg/kg IM/IV/IO (max 2mg), may repeat once in 5 minutes; OR Diazepam 0.1 mg/kg IV/IO (preferred route, max 2mg), may repeat once in 5 minutes; OR 0.1 mg/kg IM (max 5mg), may repeat once in 20 minutes Haloperidol 10mg IM or Olanzapine 5 – 10 mg IM For acute akathisia/dystonic reaction to haloperidol, administer Diphenhydramine 25-50mg IV/IO/IM NOTE: Contact Direct Medical Oversight for additional adult/pediatric medication doses MAY NOT BE altered or modified without prior approval. 6.16 Continued patient struggling against restraints may lead to hyperkalemia, rhabdomyolysis, and/or cardiac arrest, chemical restraint may be necessary to prevent continued forceful struggling by the patient. Excited/Agitated Delirium is characterized by extreme restlessness, irritability, and/or high fever.  Patients exhibiting these signs are at high risk for sudden death. Medications should be administered cautiously in frail or debilitated patients; lower doses should be considered. Administer haloperidol with caution to patients who are already on psychotropic medications which may precipitate serotonin syndrome or malignant hyperthermia. Placing a patient in prone position creates a severe risk of airway and ventilation compromise and death. Rapid intravenous administration of ketamine or benzodiazepines increases the risk of respiratory depression/apnea When administering medications for restraint, basic and advanced airway management equipment must be available at the patient's side. MAY NOT BE altered or modified without prior approval. 6.16",1.0,restraints/protocol/9,"If a patient is restrained by law enforcement personnel with handcuffs or other devices EMS personnel cannot remove, a law enforcement officer should accompany the patient to the hospital in the transporting ambulance.  If this is not feasible, the officer MUST follow directly behind the transporting ambulance to the receiving hospital. PARAMEDIC STANDING ORDERS CONTINUED ON NEXT PAGE MAY NOT BE altered or modified without prior approval. 6.16 INDICATIONS Any patient who exhibits an altered mental status and may harm himself, herself, or others or interfere with their own care may be restrained to prevent injury to the patient or crew.  Restraining must be performed in a humane manner and used only as a last resort. PROCEDURE Causes of combativeness may be due to comorbid medical conditions or due to hypoxia, hypoglycemia, drug and/or alcohol intoxication, drug overdose, brain trauma. Struggling against restraints may lead to hyperkalemia, rhabdomyolysis, and/or cardiac arrest. Verbal de-escalation is the safest method and should be delivered in an honest, straightforward, friendly tone avoiding direct eye contact and encroachment of personal space. MAY NOT BE altered or modified without prior approval. 6.16 SEDATION PATHWAY Perform Richmond Agitation Sedation Score PROCEDURE: PARAMEDIC STANDING ORDERS - ADULT Score Description +4 Combative +3 Very agitated +2 Agitated Overtly combative or violent, immediate danger to self Pulls or removes tube(s) or catheter(s); Aggressive Frequent non-purposeful movement; fights ventilator +1 Restless Alert and calm Anxious but movement not aggressive or vigorous Awake and quiet -1 Drowsy -2 Light sedation -3 Moderate sedation -4 Deep sedation Not fully alert, sustained (>10 seconds) awakening, eye contact to voice Briefly (<10 seconds) awakens with eye contact to voice Any movement (but no eye contact) to voice No response to voice, but movement or eye opening to physical stimulation -5 Unarousable No response to voice or physical stimulation",,,
S022,T2_id_text_changed,22.3636,emergency incident rehabilitation/protocol/e#2,Emergency Incident Rehabilitation,protocol,e,"For personnel with signs or symptoms of dehydration or fatigue, check for toxic exposure, heat- related illness, chest pain, and/or change in mental status: these are medical emergencies; obtain ALS treatment if available and transport to a hospital emergency department. EMERGENCY INCIDENT REHABILITATION Adapted from DHS-Wide BLS & ALS Protocols, US Department of Homeland Security, 2010. MAY NOT BE altered or modified without prior approval. 6.22 MAY NOT BE altered or modified without prior approval. Page is intentionally left blank",1.0,emergency incident rehabilitation/protocol/e#2,"For personnel with signs or symptoms of dehydration or fatigue, check for toxic exposure, heat- related illness, chest pain, and/or change in mental status: these are medical emergencies; obtain ALS treatment if available and transport to a hospital emergency department. EMERGENCY INCIDENT REHABILITATION Adapted from DHS-Wide BLS & ALS Protocols, US Department of Homeland Security, 2010. MAY NOT BE altered or modified without prior approval. 6.22 Page is intentionally left blank MAY NOT BE altered or modified without prior approval.",,,
S023,T2_id_text_changed,22.3636,hyperthermia environmental adult & pediatric/protocol/o#3,Hyperthermia (Environmental) – Adult & Pediatric,protocol,o,"Discontinue active cooling when the patient reaches 101.5 °F (38.5°C) or if shivering occurs and cannot be managed by paramedics. ADULT:  Consider 500 ml normal saline IV fluid bolus for dehydration even if vital signs are normal. PEDIATRIC:  Consider 10 – 20 ml/kg normal saline IV fluid bolus for dehydration even if vital signs are normal. Consider 10 – 20ml/kg normal saline IV/IO fluid bolus for dehydration even if vital signs are normal. ADVANCED EMT STANDING ORDERS – ADULT & PEDIATRIC PARAMEDIC STANDING ORDERS- ADULT Hyperthermia: Elevated temperature may be due to environmental exposure, pharmacologic agents, or excited (agitated) delirium, see Behavioral Emergencies Protocol 2.6.  Mortality and morbidity are directly EMT STANDING ORDERS- ADULT & PEDIATRIC 2.11 MAY NOT BE altered or modified without prior approval.",1.0,hyperthermia environmental adult & pediatric/protocol/o#3,"Discontinue active cooling when the patient reaches 101.5 °F (38.5°C) or if shivering occurs and cannot be managed by paramedics. ADULT:  Consider 500 ml normal saline IV fluid bolus for dehydration even if vital signs are normal. PEDIATRIC:  Consider 10 – 20 ml/kg normal saline IV fluid bolus for dehydration even if vital signs are normal. Consider 10 – 20ml/kg normal saline IV/IO fluid bolus for dehydration even if vital signs are normal. ADVANCED EMT STANDING ORDERS – ADULT & PEDIATRIC PARAMEDIC STANDING ORDERS- ADULT EMT STANDING ORDERS- ADULT & PEDIATRIC 2.11 Hyperthermia: Elevated temperature may be due to environmental exposure, pharmacologic agents, or extreme agitation/combativeness, see Behavioral Emergencies Protocol 2.6.  Mortality and morbidity are directly related to the length of time the victim is subject to the heat stress. MAY NOT BE altered or modified without prior approval.",,,
S024,T2_id_text_changed,22.3636,cardiac arrest pediatric/protocol/•#12,Cardiac Arrest – Pediatric,protocol,•,"Placement of an advanced airway during cardiac arrest should not interrupt chest compressions.  In this setting, supraglottic airways and ETTs can be considered equivalent. Cuffed ETT are also acceptable in the pediatric setting. If using a cuffed ETT please refer to the guidelines below:",1.0,cardiac arrest pediatric/protocol/•#12,Once advanced airway is placed breaths should be administered 1 breath every 2-3 seconds.,,,
S025,T2_id_text_changed,22.3636,appendix 1 ct adult medication reference/protocol/•#37,Appendix 1:   CT Adult Medication Reference,protocol,•,5 mg IM; may repeat once in 10 minutes. CPAP / Bilevel PAP,1.0,appendix 1 ct adult medication reference/protocol/•#37,May repeat once in 10 minutes,,,
S026,T2_id_text_changed,22.3636,cardiac arrest pediatric/protocol/•#14,Cardiac Arrest – Pediatric,protocol,•,"For suspected metabolic acidosis, suspected or known hyperkalemia (dialysis patient), or known tricyclic antidepressant overdose, consider:",1.0,cardiac arrest pediatric/protocol/•#14,"Administer first dose of epinephrine as soon as possible after identifying the initial rhythm as Asystole or PEA (0.01mg/kg (1:1,000)(0.1mL/Kg) IV/IO or 0.1mg/kg (1:1000; 0.1mL/kg) via ETT as a last resort if unable to obtain IV/IO.",,,
S027,T2_id_text_changed,22.3636,poisoning/overdose/substance use disorder adult/protocol/o#2,Poisoning/Overdose/Substance Use Disorder – Adult,protocol,o,BVM ventilation 1 breath every 6 seconds during recoil and without interrupting compressions.  Consider the use of a pediatric BVM to deliver only the necessary volume to achieve chest rise.,1.0,poisoning/overdose/substance use disorder adult/protocol/o#2,"If available and equipped, consider Naloxone 2 - 4 mg IN or 0.4mg IM EMR providers can only draw and inject naloxone with sponsor hospital approval EMR/EMT draw and inject naloxone needs to be from a unit dose vial (0.4mg in 1mL)",,,
S028,T3_renumbered,1.2,5 2 1 bilevel positive airway pressure - adult/protocol/o.3,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,o.3,Place the patient in upright position.,1.0,5 2 1 bilevel positive airway pressure - adult/protocol/•.o.3,Place the patient in upright position.,,,
S029,T3_renumbered,1.2,5 2 1 bilevel positive airway pressure - adult/protocol/o.4,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,o.4,Choose the appropriate sized mask for patient.,1.0,5 2 1 bilevel positive airway pressure - adult/protocol/•.o.4,Choose the appropriate sized mask for patient.,,,
S030,T3_renumbered,1.2,5 2 1 bilevel positive airway pressure - adult/protocol/o.7,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,o.7,"IPAP: Adjust as needed, minimum of 10cmH2O; not to exceed 20cmH2O. EPAP: Adjusted as needed, minimum of 5cmH2O; not to exceed 14 cmH2O. Pressure support to be no less than 5 cmH2O (Difference of IPAP-EPAP). Set back-up ventilatory rate of no less than 8 BPM. (if equipped).",1.0,5 2 1 bilevel positive airway pressure - adult/protocol/•.o.7,"IPAP: Adjust as needed, minimum of 10cmH2O; not to exceed 20cmH2O. EPAP: Adjusted as needed, minimum of 5cmH2O; not to exceed 14 cmH2O. Pressure support to be no less than 5 cmH2O (Difference of IPAP-EPAP). Set back-up ventilatory rate of no less than 8 BPM. (if equipped).",,,
S031,T3_renumbered,1.2,5 2 1 bilevel positive airway pressure - adult/protocol/o.1,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,o.1,Ensure adequate oxygen supply for CPAP device.,1.0,5 2 1 bilevel positive airway pressure - adult/protocol/•.o.1,Ensure adequate oxygen supply for CPAP device.,,,
S032,T3_renumbered,1.2,seizures adult/protocol/o,Seizures – Adult,protocol,o,"To use the VNS magnet, pass the magnet closely over the VNS device; if unsuccessful, repeat every 3 – 5 minutes for a total of 3 times.",1.0,seizures adult/protocol/•.o,"To use the VNS magnet, pass the magnet closely over the VNS device; if unsuccessful, repeat every 3 – 5 minutes for a total of 3 times.",,,
S033,T3_renumbered,1.2,5 2 1 bilevel positive airway pressure - adult/protocol/o.8,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,o.8,9.,1.0,5 2 1 bilevel positive airway pressure - adult/protocol/•.o.8,9.,,,
S034,T3_renumbered,1.2,5 2 1 bilevel positive airway pressure - adult/protocol/o#3,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,o,"Diazepam 5mg IV/IO, may repeat once in 5 minutes PROCEDURE",1.0,5 2 1 bilevel positive airway pressure - adult/protocol/•.o#3,"Diazepam 5mg IV/IO, may repeat once in 5 minutes PROCEDURE",,,
S035,T3_renumbered,1.2,5 2 1 bilevel positive airway pressure - adult/protocol/o.10,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,o.10,Set FiO2 to appropriate level to maintain an SpO2 of 94 - 99%. Recheck the mask for leaks and adjust as needed. If the patient deteriorates and meets one or more of the contraindications above then discontinue the use of bilevel ventilation.,1.0,5 2 1 bilevel positive airway pressure - adult/protocol/•.o.10,Set FiO2 to appropriate level to maintain an SpO2 of 94 - 99%. Recheck the mask for leaks and adjust as needed. If the patient deteriorates and meets one or more of the contraindications above then discontinue the use of bilevel ventilation.,,,
S036,T3_renumbered,1.2,orotracheal intubation/protocol/4.-,Orotracheal Intubation,protocol,4.-,"10 minutes as needed. AND Midazolam (preferred) 0.1 mg/kg IV/IO (maximum single dose 4 mg), repeat every 5 - 10 minutes as needed OR Lorazepam 0.1 mg/kg IV/IO (maximum single dose 4 mg), repeat every 10 minutes as needed. POST TUBE PLACEMENT CARE – PEDIATRIC Sedation/Analgesia: Ketamine 1 mg/kg IV/IO, repeat every 5 - 15 minutes as needed. Option 1:",1.0,orotracheal intubation/protocol/10.-,"10 minutes as needed. AND Midazolam (preferred) 0.1 mg/kg IV/IO (maximum single dose 4 mg), repeat every 5 - 10 minutes as needed OR Lorazepam 0.1 mg/kg IV/IO (maximum single dose 4 mg), repeat every 10 minutes as needed. POST TUBE PLACEMENT CARE – PEDIATRIC Sedation/Analgesia: Ketamine 1 mg/kg IV/IO, repeat every 5 - 15 minutes as needed. Option 1:",,,
S037,T3_renumbered,1.2,5 2 1 bilevel positive airway pressure - adult/protocol/o.11,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,o.11,12.,1.0,5 2 1 bilevel positive airway pressure - adult/protocol/•.o.11,12.,,,
S038,T4_reworded,1.0,5 2 1 bilevel positive airway pressure - adult/protocol/o#2,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,o,"Lorazepam 1mg IV/IO may repeat once in 5 minutes, or 2mg IM may repeat once in 10 minutes 25",0.9286,5 2 1 bilevel positive airway pressure - adult/protocol/•.o#2,"Lorazepam 1mg IV/IO may repeat once in 5 minutes, or 2mg IM may repeat once in 10 minutes OR",,,
S039,T4_reworded,1.0,5 2 1 bilevel positive airway pressure - adult/protocol/o.13,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,o.13,"Monitor the patients SpO2, Capnography, ECG and Blood pressure. x For Nausea/Vomiting, see Nausea/Vomiting (Adult & Pediatric 2.14) Keep in mind Bilevel PAP uses large volumes of oxygen. While not a contraindication, caution should be used in hypotensive patients. Administer benzodiazepines with caution in elderly patients, or those with signs of hypercarbia or respiratory fatigue. *For IN administration nof midazolam use a 5 mg/mL concentration. 3($5/6 Refer to device specific settings when applicable. For hypoxic respiratory failure, keep a narrow pressure gradient.  Set iPAP/ePAP at 10/5, then increase both by the same amount until oxygenation improves or to a max of 20/14. For hypercarbic respiratory failure, set a wide pressure gradient.  Set the iPAP/ePAP at 10/5, then increase the iPAP until CO2 values improve or to a max of 20/5. For mixed respiratory failure, consider correcting oxygenation first utilizing the theory above.  Lowering the ePAP after will improve exhalation once SpO2 values have been corrected. CONTRAINDICATIONS Cardiac/Respiratory arrest. Unable to follow commands. Unable to maintain their own airway. Vomiting and/or active upper GI bleed. Respiratory distress secondary to trauma. Suspicion of pneumothorax. 5.2.1",0.928,5 2 1 bilevel positive airway pressure - adult/protocol/•#3,"For Nausea/Vomiting, see Nausea/Vomiting (Adult & Pediatric 2.14) Keep in mind Bilevel PAP uses large volumes of oxygen. While not a contraindication, caution should be used in hypotensive patients. Administer benzodiazepines with caution in elderly patients, or those with signs of hypercarbia or respiratory fatigue. *For IN administration of midazolam use a 5 mg/mL concentration. PEARLS: Refer to device specific settings when applicable. For hypoxic respiratory failure, keep a narrow pressure gradient.  Set iPAP/ePAP at 10/5, then increase both by the same amount until oxygenation improves or to a max of 20/14. For hypercarbic respiratory failure, set a wide pressure gradient.  Set the iPAP/ePAP at 10/5, then increase the iPAP until CO2 values improve or to a max of 20/5. For mixed respiratory failure, consider correcting oxygenation first utilizing the theory above.  Lowering the ePAP after will improve exhalation once SpO2 values have been corrected. CONTRAINDICATIONS Cardiac/Respiratory arrest. Unable to follow commands. Unable to maintain their own airway. Vomiting and/or active upper GI bleed. Respiratory distress secondary to trauma. Suspicion of pneumothorax. 5.2.1",,,
S040,T4_reworded,1.0,5 2 1 bilevel positive airway pressure - adult/protocol/o,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,o,"Midazolam 2.5mg IV/IO may repeat once in 5 minutes, or 5mg IM/IN* may repeat once in 10 minutes 25",0.9286,5 2 1 bilevel positive airway pressure - adult/protocol/•.o,"Midazolam 2.5mg IV/IO may repeat once in 5 minutes, or 5mg IM/IN* may repeat once in 10 minutes OR",,,
S041,T5_moved,9.2,adult/protocol/o.•#43,Adult,protocol,o.•,"Dystonic Reaction: Neurological movement disorder, in which sustained muscle contractions cause twisting and repetitive movements or abnormal postures. This may be induced by antipsychotics, such as haloperidol, or anti-emetics such as prochlorperazine or metoclopramide.",1.0,poisoning/overdose/substance use disorder pediatric/protocol/•#21,"Dystonic Reaction: Neurological movement disorder, in which sustained muscle contractions cause twisting and repetitive movements or abnormal postures. This may be induced by antipsychotics, such as haloperidol, or anti-emetics such as prochlorperazine or metoclopramide.",,,
S042,T5_moved,9.2,adult/protocol/o.•#31,Adult,protocol,o.•,"For seizures, see Seizures 2.21P.",1.0,poisoning/overdose/substance use disorder pediatric/protocol/•#14,"For seizures, see Seizures 2.21P.",,,
S043,T5_moved,9.2,adult/protocol/o#9,Adult,protocol,o,"Treat hyperthermia/dehydration, see Hyperthermia Protocol 2.11.",1.0,poisoning/overdose/substance use disorder adult/protocol/o#9,"Treat hyperthermia/dehydration, see Hyperthermia Protocol 2.11.",,,
S044,T5_moved,9.2,adult/protocol/o.•#9,Adult,protocol,o.•,"Dystonic Reaction: Neurological movement disorder, in which sustained muscle contractions cause twisting and repetitive movements or abnormal postures. This may be induced by antipsychotics, such as haloperidol, or anti-emetics such as prochlorperazine or metoclopramide.",1.0,poisoning/overdose/substance use disorder adult/protocol/o.•#11,"Dystonic Reaction: Neurological movement disorder, in which sustained muscle contractions cause twisting and repetitive movements or abnormal postures. This may be induced by antipsychotics, such as haloperidol, or anti-emetics such as prochlorperazine or metoclopramide.",,,
