sample_id,old_item_id,old_guideline,old_section,old_marker_path,old_text,annotator_correspondence,annotator_relation,annotator_notes
S035,new transcutaneous pacing - adult and pediatric/protocol/7,NEW Transcutaneous Pacing - Adult and Pediatric,protocol,7,"Confirm improved perfusion by assessing for resolution of symptoms, increased mental status, blood pressure and ETCO2. Note: In an intubated patient, ETCO2 <20mmHg may indicate inadequate perfusion/lack of effective mechanical capture. 6.19 Contraindication Hypothermia with a core temperature < 86 deg F Examples of NO electrical capture Intermittent capture Examples of electrical capture MAY NOT BE altered or modified without prior approval. PEARLS: For most patients, less than 50mA produces minimal discomfort but an output of 50-100 mA is usually required to achieve capture. Consider the hemodynamic effects of medications and patient BP when considering sedation or analgesia. Higher mA setting will produce more skeletal muscle contraction and larger post-impulse deflection/artifact on the EKG. Assure effective communication and coordination during transition to the Emergency Department to avoid unintended cessation of pacing.   The hospital's transcutaneous pacer device should usually attached to the patient and prepared to take over pacing prior the EMS pacer being stopped or disconnected. It is safe to touch the patient's skin while transcutaneously pacing. 6.19 Transcutaneous Pacing - Adult and Pediatric",,,
S036,appendix 1 ct adult medication reference/protocol/•#33,Appendix 1:   CT Adult Medication Reference,protocol,•,"Use with caution in known home medication use of anti-arrhythmic, Parkinson’s medications, or methadone Nausea/Vomiting",,,
S037,appendix 1 ct adult medication reference/protocol/•#98,Appendix 1:   CT Adult Medication Reference,protocol,•,2 - 4 mg IN OR through the use of auto-injector.,,,
S038,appendix 1 ct adult medication reference/protocol/•#13,Appendix 1:   CT Adult Medication Reference,protocol,•,5 mg IV/IO(then 2.5 mg every 5 minutes to a total of 20 mg) Nerve Agent,,,
S039,appendix 1 ct adult medication reference/protocol/•#91,Appendix 1:   CT Adult Medication Reference,protocol,•,"If >39 kg, 10 mg IM (preferred route) every 10 minutes or 5 mg IV/IO/IN every 5 minutes",,,
S040,appendix 1 ct adult medication reference/protocol/•#32,Appendix 1:   CT Adult Medication Reference,protocol,•,"Avoid use in patients who are already on psychotropic medications which may precipitate serotonin syndrome, malignant hyperthermia or prolong QTc",,,
S041,adult/protocol/•#19,Adult,protocol,•,Placement of an advanced airway during cardiac arrest should not interrupt chest compressions. PARAMEDIC STANDING ORDERS - ADULT 3.2A MAY NOT BE altered or modified without prior approval.,,,
S042,cardiac arrest pediatric/protocol/•#17,Cardiac Arrest – Pediatric,protocol,•,"Except as indicated in this protocol, follow applicable AHA PALS and BLS guidelines MAY NOT BE altered or modified without prior approval. PARAMEDIC STANDING ORDERS - continued For Ventricular Fibrillation (VF)/Pulseless Ventricular Tachycardia (VT):",,,
S043,restraints/protocol/4.•#6,Restraints,protocol,4.•,"For acute akathisia/dystonic reaction to Haloperidol or Droperidol, administer Diphenhydramine 25-50mg IV/IO/IM PARAMEDIC STANDING ORDERS - Pediatric (Patient <36kg/79 lbs or <145cm/57 in) For the pediatric patient with Extreme Agitation/Combativeness who is unresponsive to de-escalation techniques, consider:",,,
S044,appendix 1 ct adult medication reference/protocol/•#18,Appendix 1:   CT Adult Medication Reference,protocol,•,5-10 mg IV/IO (then 2.5 mg every 5 minutes to a total of 20 mg).,,,
S045,appendix 1 ct adult medication reference/protocol/•#43,Appendix 1:   CT Adult Medication Reference,protocol,•,Extreme agitation/combativeness,,,
S046,5 2 1 bilevel positive airway pressure - adult/protocol/•.o.3,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,•.o.3,Place the patient in upright position.,,,
S047,5 2 1 bilevel positive airway pressure - adult/protocol/•.o.8,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,•.o.8,9.,,,
S048,5 2 1 bilevel positive airway pressure - adult/protocol/•.o.13,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,•.o.13,"Monitor the patients SpO2, Capnography, ECG and Blood pressure.",,,
S049,5 2 1 bilevel positive airway pressure - adult/protocol/•.o.2,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,•.o.2,Explain the procedure to patient.  Be prepared to coach patient for claustrophobia or anxiety.,,,
S050,5 2 1 bilevel positive airway pressure - adult/protocol/•.o.1,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,•.o.1,Ensure adequate oxygen supply for CPAP device.,,,
S051,5 2 1 bilevel positive airway pressure - adult/protocol/•.o.11,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,•.o.11,12.,,,
S052,5 2 1 bilevel positive airway pressure - adult/protocol/•.o.4,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,•.o.4,Choose the appropriate sized mask for patient.,,,
S053,5 2 1 bilevel positive airway pressure - adult/protocol/•.o.5,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,•.o.5,6. Set the ventilator to the patient appropriate setting. (if equipped),,,
S054,adult/protocol/•#47,Adult,protocol,•,Completes Cardiac Arrest Check List,,,
S055,appendix 2 ct pediatric color coded medication reference/protocol/-#64,Appendix 2:   CT Pediatric Color Coded Medication Reference,protocol,-,Infusion 2 drops 66 mEq Proparacaine Sodium Bicarbonate Tetracaine 2 drops 2.0 mg 830 mg 1037.5 mg 41.5 mg 2.0 mg 2.0 mg 2 mg 2.1-10.4 micrograms/min 3.113 mg 4 mg 1037 mg 415 mg/hr 2 drops 41.5 mEq 2 drops 13.5 mg 2.7 mg 1080 mg 1350 mg 54 mg 2.7 mg 2.7 mg 2 mg 2.7-13.5 micrograms/min 4.0 mg 4 mg 1350 mg 540 mg/hr 2 drops 18 mg 3.3 mg 1320 mg 1650 mg 66 mg 3.6 mg 3.6 mg 2 mg 3.3-16.5 micrograms/min 4.0mg 4 mg 1650 mg 720 mg/hr 2.1-10.4 micrograms/min 2.7-13.5 micrograms/min 3.3-16.5 micrograms/min,,,
S056,routine patient care/protocol/o#24,Routine Patient Care,protocol,o,"Consider obtaining a blood sample, per receiving hospital’s preference. NOTE: An IV/IO for the purposes of these protocols is a saline lock of protocols is a saline lock or line with normal saline or Lactated Ringers, unless otherwise specified in an individual protocol. Routes of medication administration when written as “IV” can also include “IO”.  All IV/IO medications administered as an infusion should be clearly labeled with the following elements:",,,
S057,adult/protocol/•.o#12,Adult,protocol,•.o,Resuming compressions immediately after a shock is delivered.,,,
S058,5 2 1 bilevel positive airway pressure - adult/protocol/•.o.10,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,•.o.10,Set FiO2 to appropriate level to maintain an SpO2 of 94 - 99%. Recheck the mask for leaks and adjust as needed. If the patient deteriorates and meets one or more of the contraindications above then discontinue the use of bilevel ventilation.,,,
S059,routine emr patient care/protocol/o#32,Routine EMR Patient Care,protocol,o,"Wound Care - see Musculoskeletal Injuries Protocol – Adult & Pediatric 4.4. Respiratory Reference Tables * Ventilation rates should be titrated to goal EtCO2, if available, or patient conditions (e.g. severe asthma, aspirin overdose, traumatic brain injury). MAY NOT BE altered or modified without prior approval. Pediatric Respiratory Failure Pediatric Respiratory Distress",,,
S060,5 2 1 bilevel positive airway pressure - adult/protocol/•.o.7,5.2.1 Bilevel Positive Airway Pressure - Adult,protocol,•.o.7,"IPAP: Adjust as needed, minimum of 10cmH2O; not to exceed 20cmH2O. EPAP: Adjusted as needed, minimum of 5cmH2O; not to exceed 14 cmH2O. Pressure support to be no less than 5 cmH2O (Difference of IPAP-EPAP). Set back-up ventilatory rate of no less than 8 BPM. (if equipped).",,,
