sample_id,old_item_id,old_guideline,old_section,old_marker_path,old_text,annotator_correspondence,annotator_relation,annotator_notes
S012,musculoskeletal trauma/notes/1,MUSCULOSKELETAL TRAUMA,notes,1,Traction splinting should not be used for hip (proximal femoral neck) fractures.,,,
S013,nerve agent/pesticide exposure/criteria/A.1,NERVE AGENT/PESTICIDE EXPOSURE,criteria,A.1,Mild symptoms include:,,,
S014,volume control transport ventilator management statewide als protocol optional/criteria/B,VOLUME CONTROL TRANSPORT VENTILATOR MANAGEMENT STATEWIDE ALS PROTOCOL (OPTIONAL),criteria,B,Patient with advanced airway requiring consistent ventilation after pre-hospital placement of advanced airway.,,,
S015,altered level of consciousness - pediatric/notes/13.e,ALTERED LEVEL OF CONSCIOUSNESS - PEDIATRIC,notes,13.e,"Legal guardian refuses transport, or patient, legal guardian and paramedics agree transport not needed f. Legal guardian or another competent adult will be staying with patient",,,
S016,stroke/notes/11,STROKE,notes,11,"The Department of Health maintains a listing of recognized stroke centers.  Found at https://www.health.pa.gov/topics/EMS/Pages/Recognized-Stroke-Centers.aspx. Transport to the closest certified Primary Stroke Center or Comprehensive Stroke Center if the patient can arrive at the stroke center within 45 minutes. Otherwise, transport to an Acute Stroke Ready Hospital, if the patient can arrive at that facility within 45 minutes.",,,
S017,sedation-assisted intubation/performance parameters/A.7.•#2,SEDATION-ASSISTED INTUBATION,performance parameters,A.7.•,Albuterol (approx 3 mg)/ ipratropium (500 mcg) combination nebulized. Contact Medical Command Methylprednisolone (if available) 40-125 mg IV Methylprednisolone (if available) 2 mg/kg IV Respiratory 4011 – ALS – Adult/Peds Effective 09/01/21 4011-2 of 2 ALLERGIC REACTION,,,
S018,narrow complex tachycardia pediatric/performance parameters/B,NARROW COMPLEX TACHYCARDIA – PEDIATRIC,performance parameters,B,"Review for correct documentation of rhythm and for inclusion of rhythm strip in PCR Cardiac 5023A – ALS – Adult 5023A-1 of 2 WIDE COMPLEX TACHYCARDIA – ADULT First consider, Adenosine    6 mg IV/IO 3,4 (if available) May repeat 12 mg IV Regular Wide QRS Rhythm? UNSTABLE IV/IO Access DO NOT delay cardioversion Synchronized Cardioversion 100 joules 6,7,8 If no conversion, repeat at 200, 300, 360 joules 7 until conversion STABLE Contact Medical Command Contact Medical Command REGULAR 2 Consider repeat Lidocaine 0.75 mg/kg IV/IO or Lidocaine infusion at 2-4 mg/min Consider repeat Amiodarone dose or Amiodarone infusion (1 mg/min) (if available) Initial Patient Contact – see protocol #201 Unstable with serious signs or symptoms 1 Related symptoms uncommon if HR <150 Manage Airway/ Ventilate, if needed Apply Oxygen Monitor ECG & Pulse Oximetry IV/IO Access 12-Lead ECG IRREGULAR 5 Lidocaine 1.5 mg/kg IV/ IO Amiodarone 150 mg IV/IO infused over 10 minutes (if available) If torsades, Magnesium 2 g IV/ IO (if available) If unstable, repeat synchronized cardioversion after antidysrhythmic Consider Sedation, if conscious (see box below) Sedation Options: (Choose one) (Titrate to minimum amount necessary) Midazolam 1-5 mg IV/IO (0.05 mg/kg) titrated; maximum 5 mg/dose, may repeat until 0.1 mg/kg total Diazepam 5-10 mg IV/IO (0.1 mg/kg) titrated; Maximum 10 mg/dose, may repeat until 0.3 mg/kg Lorazepam 1-2 mg IV/IO (0.1 mg/kg) titrated; Maximum 2 mg/dose, may repeat until 4 mg total Lidocaine 1.5 mg/kg IV/ IO Amiodarone 150 mg IV/IO infused over 10 minutes (if available) Cardiac 5023A – ALS – Adult 5023A-2 of 2 WIDE COMPLEX TACHYCARDIA – ADULT",,,
S019,wide complex tachycardia pediatric/criteria/A,WIDE COMPLEX TACHYCARDIA – PEDIATRIC,criteria,A,Pediatric (preadolescent < 14 years of age) patient presenting with narrow QRS complex (> 0.08 sec) and symptomatic heart rates greater than normal for age,,,
S020,general protocol principles/criteria/G.5,GENERAL PROTOCOL PRINCIPLES,criteria,G.5,"Drawing blood samples - Drawing blood in the prehospital setting may assist receiving facilities in providing better diagnoses or more rapid treatment of patients, but in some areas the receiving facilities will not accept blood drawn by prehospital providers. Although it would be appropriate for an EMS agency to require blood draw in most situations where IV access is listed, EMS regions or agencies may determine whether drawing blood on prehospital patients is appropriate based upon the practices of local receiving hospitals.",,,
S021,crashing patient/ patient in extremis pediatric/performance parameters/2,CRASHING PATIENT/ PATIENT IN EXTREMIS – PEDIATRIC,performance parameters,2,"Ensure that specific treatments also follow other appropriate protocols, e.g. Airway Management, Shock, Tachycardia, Bradycardia, etc. THIS PAGE INTENTIONALLY LEFT BLANK Resuscitation 3001 – ALS – Adult/Peds Effective 09/01/15 3001-1 of 2 AIRWAY OBSTRUCTION Obstruction Resolved and Able to Ventilate NO YES YES NO Direct Laryngoscopy Magill Forceps Removal of Foreign Body (Consider SLAT if unable to grasp foreign body) Manage Airway: use BLS obstructed airway management techniques1 Continue BLS obstructed airway techniques and Transport Immediately Attempt Transtracheal Jet Insufflation/Cricothyrotomy (if available) Obstruction Resolved and Able to Ventilate Initiate IV NSS if needed CONTACT MEDICAL COMMAND Follow Airway Management Protocol #4001 CONTACT MEDICAL COMMAND Resuscitation 3001 – ALS – Adult/Peds Effective 09/01/15 3001-2 of 2 AIRWAY OBSTRUCTION",,,
S022,burns/performance parameters/B.•#11,BURNS,performance parameters,B.•,"If the patient is alert, administer warm non-caffeinated beverages (if available) by mouth slowly.7 Patient temperature > 30° C (86° F)? Patient is shivering and conscious? Contact Medical Command If cardiac arrest develops, follow Cardiac Arrest- Hypothermia protocol #3035 Contact Medical Command Repeat warmed NSS bolus to total of 60 mL/kg (max.3000 mL) NO YES Trauma & Environmental 6081 – ALS – Adult/Peds Effective 09/01/15 6081-2 of 2 HYPOTHERMIA / COLD INJURY / FROSTBITE",,,
S023,general cardiac arrest/notes/8,GENERAL CARDIAC ARREST,notes,8,"Confirm and document tube placement with absence of gastric sounds and presence of bilateral breath sounds AND continuous waveform ETCO2 detector.  Follow Confirmation of Airway Placement Protocol #2032 May insert gastric tube, if available, to decompress stomach.",,,
S024,crashing patient/ patient in extremis pediatric/exclusion criteria/A.2.b,CRASHING PATIENT/ PATIENT IN EXTREMIS – PEDIATRIC,exclusion criteria,A.2.b,"Provide high-flow oxygen: 1) If respirations adequate, by NRB at 15 lpm – have a low threshold for CPAP applications if significant respiratory distress/hypoxia and appropriate sized CPAP mask is available. 2) If respirations inadequate, give positive pressure ventilation with BVM + oxygen at 15 lpm. Two-Person, Two-Thumbs-Up technique is most effective. a) Consider PPV by BVM if not following commands or SpO2 <90%",,,
S025,cardiac arrest hypothermia/notes/4.•#6,CARDIAC ARREST – HYPOTHERMIA,notes,4.•,"Avoid heat packs or warm IV fluids Check blood glucose. If ≤60, 10% Dextrose 25 g IV/ IO (250 mL) [Peds: Dextrose 10% 5 mL/kg IV/ IO] Treat/titrate to target perfusion pressure of SBP > 120 mmHg (or MAP >80) 6 [Peds: 70 + (age x 2)] If no signs of CHF, Administer 20 mL/kg NSS wide open (up to 2000 mL total) EPINEPHrine7 push dose (diluted) 10-20 mcg boluses or infusion DOPAmine (if available) infusion 8 ROSC after cardiac arrest Follow appropriate dysrhythmia protocol (Bradycardia, Wide-complex tachycardia, Narrow-complex tachycardia)10 If unstable from recurrent VF/VT, consider antidysrhythmic infusion after initial bolus: Lidocaine 2-4 mg/min IV/IO (adult) Amiodarone, if available, 1 mg/min IV/IO (adult) Amiodarone, if available 5 mg/kg IV/IO infused over 60 minutes (pediatric) Additional dose(s) of sedation if patient is agitated Consider transport to a center that consistently provides a comprehensive, structured, multidisciplinary system of care for post- cardiac arrest patients, including PPCI and hypothermia. Resuscitation 3080 – ALS - Adult/Peds 3080-2 of 3 POST-RESUSCITATION CARE",,,
S026,sedation-assisted intubation/criteria/A.1,SEDATION-ASSISTED INTUBATION,criteria,A.1,Hypoxia (pulse oximetry < 90%) despite high flow oxygen by NRB mask or by CPAP.,,,
S027,general protocol principles/criteria/G.8.c,GENERAL PROTOCOL PRINCIPLES,criteria,G.8.c,Patient has not had a dose of acetaminophen within the last 4 hours.,,,
S028,chest pain / suspected acute coronary syndrome/notes/6.d,CHEST PAIN / SUSPECTED ACUTE CORONARY SYNDROME,notes,6.d,Transport to STEMI-receiving center capable of providing emergency PPCI – see Destination Protocol #170.,,,
S029,sedation-assisted intubation/exclusion criteria/A.2,SEDATION-ASSISTED INTUBATION,exclusion criteria,A.2,Nasotracheal intubation may be preferred in breathing patients.,,,
S030,general protocol principles/criteria/G.2.c,GENERAL PROTOCOL PRINCIPLES,criteria,G.2.c,"Agencies should assure that medications are stored in a manner that provides for maximal shelf life and appropriate security.  Some medications, for example lorazepam, may have limitations to the listed expiration date if the medication is not refrigerated.  EMS agencies should follow Department guidance and good medication storage practices to assure that medications have not lost their potency.",,,
S031,general protocol principles/criteria/G.2.a,GENERAL PROTOCOL PRINCIPLES,criteria,G.2.a,"When possible, dosing for various medications has been standardized across all protocols. EMS providers must use their training and knowledge to assure that doses given are appropriate for the patient’s age and weight.  Although doses may not exceed those listed in the protocol, it may be appropriate to decrease the doses of some medications based upon patient condition, patient vital signs or patient age.",,,
S032,general protocol principles/criteria/G.6.a,GENERAL PROTOCOL PRINCIPLES,criteria,G.6.a,Peripheral venous access may be established with a saline lock or a NSS intravenous infusion.  The rate of the infusion may be KVO or should be determined by specific IV fluid volumes as stated in the appropriate protocol.,,,
S033,sedation-assisted intubation/exclusion criteria/A.3,SEDATION-ASSISTED INTUBATION,exclusion criteria,A.3,"Assisting ventilation with BVM and high-flow oxygen may be preferred if ETA to receiving facility is short, if airway reflexes are fully-intact, or until naloxone can be administered in opioid overdose.",,,
S034,general protocol principles/criteria/G.7,GENERAL PROTOCOL PRINCIPLES,criteria,G.7,"Controlled Substance Use - when a medical command physician orders an ALS provider to administer a controlled substance, the medical command physician is responsible for providing a prescription in the patient’s name for the order.  A medical command physician may also provide a prescription for controlled substances that were given on protocol prior to contact with the medical command physician, but if the medical command physician is not comfortable writing this prescription for a medication that he/she did not order, then it is the EMS agency medical director’s responsibility to arrange for a prescription in the patient’s name to account for the controlled substance that was administered.",,,
S035,chest pain / suspected acute coronary syndrome/notes/6.c,CHEST PAIN / SUSPECTED ACUTE CORONARY SYNDROME,notes,6.c,Contact medical command ASAP since some patients may benefit from transport to a receiving facility capable of emergent primary percutaneous coronary intervention (PPCI).,,,
S036,general protocol principles/criteria/G.6,GENERAL PROTOCOL PRINCIPLES,criteria,G.6,Vascular Access - Many protocols list “Initiate IV/IO NSS”. The most appropriate means of establishing this peripheral vascular or intraosseous access should be determined by agency policy or by the ALS provider’s judgment based upon the condition of the patient.,,,
S037,general protocol principles/criteria/G.6.b,GENERAL PROTOCOL PRINCIPLES,criteria,G.6.b,"Intraosseous access - When IV access is indicated but not obtainable in a timely manner, intraosseous access is an acceptable alternative.  An IO access may be initiated on any critically ill patient, requiring IV fluids or medications. 1) IO access may be obtained in the following extremity sites: a) Proximal tibia b) Distal femur c) Proximal humerus 2) Any acceptable method or device that obtains IO access in an extremity site listed above is appropriate.  EMS agency policy may indicate which technique or extremity sites listed above are acceptable for IO access. 3) ALS services must have the capability of providing pediatric IO access, but adult IO access is considered optional unless required by the region. 4) In conscious patients, lidocaine (2%, adults= 20-40 mg, peds = 0.5 mg/kg) should be administered prior to infusing medications or fluids through an IO to reduce the pain of infusions.",,,
S038,general protocol principles/criteria/H.2.b,GENERAL PROTOCOL PRINCIPLES,criteria,H.2.b,Table 1)    1 y/o =10 kg 2)    3 y/o =15 kg 3)    5 y/o =20 kg 4)    7 y/o =25 kg 5)    9 y/o =30 kg I. Equipment Issues,,,
S039,sedation-assisted intubation/exclusion criteria/A.1,SEDATION-ASSISTED INTUBATION,exclusion criteria,A.1,CPAP and medications may be preferred if patient has acute pulmonary edema/ CHF.,,,
S040,nontraumatic pain management/performance parameters/D,NONTRAUMATIC PAIN MANAGEMENT,performance parameters,D,"Agency medical director and QI committee review of each case of sub-dissociative dose of ketamine for pain. Review for pre- and post-administration pain severity, appropriate indication, appropriate dosage, monitoring of VS and continuous pulse oximetry. Agencies must submit quarterly report of ketamine uses to EMS regional QI committee. Regional QI committee must report quarterly regional summary of use and protocol compliance to BEMS quarterly. THIS PAGE LEFT INTENTIONALLY BLANK Medical & OB/GYN 7005 – ALS – Adult/Peds Effective 09/01/17 7005-1 of 3 SHOCK / SEPSIS Reassess BP after each fluid challenge Contact Medical Command Adult or Pediatric Patient Adult Pediatric (≤ 14 years old) Initiate IV/ IO NSS 9 Infuse fluid challenge of 20 mL /kg as rapidly as possible 5,10 Reassess BP after each fluid challenge Initial Patient Contact - Follow protocol #201 Manage Airway/Ventilate, if needed 1.2,3 High-flow oxygen Keep patient warm Monitor ECG/Pulse Oximetry 4 Initiate IV/ IO NSS Infuse fluid challenge of 500 mL as rapidly as possible 5,6 Repeat fluid challenge of NSS 9 20 mL /kg IV/IO Up to total of 60 mL/kg IV/IO to SBP > 70 + (2 x age in years) If history of Congenital Adrenal Hyperplasia (CAH) or daily steroid use, check glucose and give hydrocortisone (if available or if carried by patient) 0 – 3 y/o = 25 mg IV/IO/IM 3 – 12 y/o = 50 mg IV/IO/IM ≥ 12 y/o = 100 mg IV/IO/IM Or patient’s prescribed dose, if known Contact Medical Command If SBP <90: EPINEPHrine7 push dose (diluted) 10-20 mcg boluses or infusion Consider DOPamine Drip (if available) 8 If hypotensive Consider DOPamine Drip (if available) 8 Proceed to appropriate protocol Serious Dysrhythmia YES If no CHF, repeat fluid challenge of NSS 500 mL IV/IO 5,6 Up to total of 2000 mL IV/IO 5 to SBP > 100 Medical & OB/GYN 7005 – ALS – Adult/Peds Effective 09/01/17 7005-2 of 3 SHOCK / SEPSIS",,,
S041,untitled 1784/exclusion criteria/A.10,<untitled@1784>,exclusion criteria,A.10,"Consider calling the local organ donation program [800-DONORS1 (Eastern PA) or 800- DONORS7 (Western PA)] for the family. Many individuals can donate corneas, skin grafts or bone grafts.",,,
S042,untitled 1784/exclusion criteria/A.4#2,<untitled@1784>,exclusion criteria,A.4,Terminate resuscitation efforts and document time of death.,,,
S043,untitled 1784/exclusion criteria/A.9.b,<untitled@1784>,exclusion criteria,A.9.b,Consider notifying the patient’s primary care physician.,,,
S044,delirium with agitated behavior/performance parameters/A.2,DELIRIUM WITH AGITATED BEHAVIOR,performance parameters,A.2,Review for complications related to ketamine administration compared to other delirium with agitated behavior conditions.,,,
S045,untitled 1784/exclusion criteria/A.7,<untitled@1784>,exclusion criteria,A.7,Contact the coroner or medical examiner,,,
S046,agitated behavior / psychiatric disorders/notes/7,AGITATED BEHAVIOR / PSYCHIATRIC DISORDERS,notes,7,"DO NOT sandwich patient between devices, such as long boards or Reeve’s stretchers, for transport.  Avoid restraint to unpadded devices like backboards.",,,
S047,untitled 1784/criteria/A.2.e,<untitled@1784>,criteria,A.2.e,"have medical causes of cardiac arrest that may respond to longer resuscitation efforts. Including lightning strike, electrocution, and drug overdose.",,,
S048,untitled 1784/exclusion criteria/A.4,<untitled@1784>,exclusion criteria,A.4,"Cardiac arrest in an environment where the bystanders do not accept the idea of ceasing efforts in the field. While most families understand the futility of the situation and are very accepting of field termination, some family members or bystanders can become hostile. System Requirements:",,,
S049,untitled 1784/exclusion criteria/A.2.c,<untitled@1784>,exclusion criteria,A.2.c,Asystole or wide complex PEA at < 60 BPM,,,
S050,untitled 1784/exclusion criteria/A.3#2,<untitled@1784>,exclusion criteria,A.3,Contact medical command. EMS providers may terminate resuscitation only after order from a medical command physician. 1,,,
S051,agitated behavior / psychiatric disorders/criteria/C.2,AGITATED BEHAVIOR / PSYCHIATRIC DISORDERS,criteria,C.2,Hypoglycemia,,,
S052,agitated behavior / psychiatric disorders/criteria/A.3,AGITATED BEHAVIOR / PSYCHIATRIC DISORDERS,criteria,A.3,"Restrain all 4 extremities with patient supine on stretcher.5,6,7,8",,,
S053,delirium with agitated behavior/notes/5,DELIRIUM WITH AGITATED BEHAVIOR,notes,5,"Do not place an IV or IO for the purpose of administering ketamine. If no IV in place, the ideal site for IM ketamine is midline lateral thigh, however administration in deltoid or gluteal sites are permitted if they can be accessed more safely.",,,
S054,musculoskeletal trauma/exclusion criteria/G,MUSCULOSKELETAL TRAUMA,exclusion criteria,G,Ketamine may only be carried by ALS services that follow all aspects of this protocol and permission to carry the medication will be removed from the agency by the Bureau of EMS if either the agency/regional QI or other investigation determines that there are significant variances from this protocol. Possible Medical Command Orders:,,,
S055,agitated behavior / psychiatric disorders/criteria/A.4.c,AGITATED BEHAVIOR / PSYCHIATRIC DISORDERS,criteria,A.4.c,"If the handcuffs or law enforcement devices are used to restrain the patient, a law enforcement officer must remain immediately available while the EMS practitioner assesses and manages the patient and should accompany the patient during transport by ambulance.",,,
S056,untitled 1784/notes/1.c,<untitled@1784>,notes,1.c,"The EMS providers are exhausted and it is physically impossible to continue the resuscitation THIS PAGE LEFT INTENTIONALLY BLANK Respiratory 4001 – ALS – Adult/Peds 4001-1 of 2 AIRWAY MANAGEMENT ABLE Ensure Basic Airway & Ventilatory Support: 2 Administer naloxone, if indicated 3 Prepare Airway Equipment Assess / Re-Assess Airway Difficulty: Level of Consciousness Protective Reflexes Anatomy Environment Assess Need for Airway or Ventilatory Support 1 UNABLE Attempt ETI 5 Proper Placement Confirmed 9 Secure Device Ensure Adequate Ventilation Reconfirm Tube Placement Frequently YES Have there been 3 ETI Attempts? 10 NO Alternative / Rescue Airway 8 (see box) Alternative / Rescue Airway 8 (see box) YES Select / Refine Airway Intervention: Patient or Rescuer Positioning 4 ETI Method or Technique 5 Drug-Facilitated ETI 6 Secondary / Rescue Airway 7 NO Alternative/ Rescue Airway Options:",,,
S057,agitated behavior / psychiatric disorders/criteria/C.3,AGITATED BEHAVIOR / PSYCHIATRIC DISORDERS,criteria,C.3,Stroke,,,
S058,general protocol principles/criteria/C#2,GENERAL PROTOCOL PRINCIPLES,criteria,C,Guidelines and Protocol Options:,,,
S059,general protocol principles/criteria/D.4.e,GENERAL PROTOCOL PRINCIPLES,criteria,D.4.e,"In most cases, the algorithm does not specify when or how to reassess patients.  It is expected that patients are reassessed frequently, and results documented, particularly after each medical intervention or medication administration.  Vital signs or other appropriate reassessments should be done and documented after administering any medication that could change hemodynamic parameters, level of consciousness, etc. f. Most protocols list a “Contact Medical Command” point.  Although medical command should be contacted earlier if the EMS provider believes that consultation with a medical command physician would be helpful in treating the patient, ALS providers must use the Medical Command Contact Protocol (# 9001), which defines actions that must be taken, when the “Contact Medical Command” point is reached.",,,
S060,delirium with agitated behavior/notes/2,DELIRIUM WITH AGITATED BEHAVIOR,notes,2,"Ketamine must be ordered by a medical command physician, unless there are not adequate resources to contact medical command while ensuring patient safety.",,,
